{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 9772, 'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9800, 'name': 'FEDIT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9856, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9884, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10028, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10148, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10188, 'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10368, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 10652, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11036, 'name': 'svchost.exe', 'username': None}
{'pid': 11100, 'name': 'ZVCMD64.EXE', 'username': None}
{'pid': 11164, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11208, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11312, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11512, 'name': 'Adobe CEF Helper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11520, 'name': 'Adobe CEF Helper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11532, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11592, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11724, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11772, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 11972, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12028, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12060, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12244, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12268, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12440, 'name': 'svchost.exe', 'username': None}
{'pid': 12536, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12616, 'name': 'dllhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12660, 'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12664, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12676, 'name': 'conhost.exe', 'username': None}
{'pid': 12824, 'name': 'rundll32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12832, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12848, 'name': 'LockApp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 12984, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13208, 'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13332, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13484, 'name': 'HxAccounts.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13608, 'name': 'adb.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13720, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13828, 'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13956, 'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 13992, 'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14068, 'name': 'AcroRd32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14216, 'name': 'svchost.exe', 'username': None}
{'pid': 14228, 'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14272, 'name': 'FASTSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14488, 'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14812, 'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14856, 'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 14988, 'name': 'svchost.exe', 'username': None}
{'pid': 15016, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 15092, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 15344, 'name': 'AdobeARM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 19144, 'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 19428, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 19744, 'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 20036, 'name': 'svchost.exe', 'username': None}
{'pid': 21348, 'name': 'OCTACORE.EXE', 'username': None}
{'pid': 21372, 'name': 'conhost.exe', 'username': None}
{'pid': 21456, 'name': 'python.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
