--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13208}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13332}
{'name': 'HxAccounts.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13484}
{'name': 'adb.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13608}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13720}
{'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13828}
{'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13956}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 13992}
{'name': 'AcroRd32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14068}
{'name': 'svchost.exe', 'username': None, 'pid': 14216}
{'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14228}
{'name': 'FASTSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14272}
{'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14488}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14812}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 14856}
{'name': 'svchost.exe', 'username': None, 'pid': 14988}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 15016}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 15092}
{'name': 'AdobeARM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 15344}
{'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 19144}
{'name': 'python.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 21240}
{'name': 'OCTACORE.EXE', 'username': None, 'pid': 21348}
{'name': 'conhost.exe', 'username': None, 'pid': 21372}
